season,round,id,abbr,type,totalPoints,nnTotalPoints
2024,14,ALP,ALP,constructor,18,19
2024,14,AST,AST,constructor,21,21
2024,14,FER,FER,constructor,47,48
2024,14,HAA,HAA,constructor,7,8
2024,14,KCK,KCK,constructor,-14,7
2024,14,MCL,MCL,constructor,67,67
2024,14,MER,MER,constructor,25,50
2024,14,RED,RED,constructor,69,69
2024,14,VRB,VRB,constructor,18,18
2024,14,WIL,WIL,constructor,5,6
2024,15,ALP,ALP,constructor,17,17
2024,15,AST,AST,constructor,17,25
2024,15,FER,FER,constructor,59,59
2024,15,HAA,HAA,constructor,16,16
2024,15,KCK,KCK,constructor,-2,5
2024,15,MCL,MCL,constructor,81,82
2024,15,MER,MER,constructor,39,39
2024,15,RED,RED,constructor,52,53
2024,15,VRB,VRB,constructor,15,20
2024,15,WIL,WIL,constructor,-2,18
2024,16,ALP,ALP,constructor,18,18
2024,16,AST,AST,constructor,11,13
2024,16,FER,FER,constructor,65,65
2024,16,HAA,HAA,constructor,11,15
2024,16,KCK,KCK,constructor,9,10
2024,16,MCL,MCL,constructor,83,85
2024,16,MER,MER,constructor,49,52
2024,16,RED,RED,constructor,40,40
2024,16,VRB,VRB,constructor,-15,6
2024,16,WIL,WIL,constructor,22,22
2024,17,ALP,ALP,constructor,2,18
2024,17,AST,AST,constructor,16,21
2024,17,FER,FER,constructor,34,50
2024,17,HAA,HAA,constructor,16,16
2024,17,KCK,KCK,constructor,17,18
2024,17,MCL,MCL,constructor,85,85
2024,17,MER,MER,constructor,65,65
2024,17,RED,RED,constructor,26,38
2024,17,VRB,VRB,constructor,-14,6
2024,17,WIL,WIL,constructor,31,31
2024,18,ALP,ALP,constructor,11,11
2024,18,AST,AST,constructor,18,18
2024,18,FER,FER,constructor,49,49
2024,18,HAA,HAA,constructor,10,18
2024,18,KCK,KCK,constructor,8,9
2024,18,MCL,MCL,constructor,81,81
2024,18,MER,MER,constructor,49,52
2024,18,RED,RED,constructor,47,47
2024,18,VRB,VRB,constructor,22,28
2024,18,WIL,WIL,constructor,-7,13
2024,19,ALP,ALP,constructor,14,26
2024,19,AST,AST,constructor,5,17
2024,19,FER,FER,constructor,97,97
2024,19,HAA,HAA,constructor,25,26
2024,19,KCK,KCK,constructor,6,11
2024,19,MCL,MCL,constructor,80,83
2024,19,MER,MER,constructor,33,55
2024,19,RED,RED,constructor,72,72
2024,19,VRB,VRB,constructor,28,31
2024,19,WIL,WIL,constructor,19,20
2024,20,ALP,ALP,constructor,21,21
2024,20,AST,AST,constructor,-5,15
2024,20,FER,FER,constructor,82,82
2024,20,HAA,HAA,constructor,34,34
2024,20,KCK,KCK,constructor,10,10
2024,20,MCL,MCL,constructor,73,73
2024,20,MER,MER,constructor,54,54
2024,20,RED,RED,constructor,41,44
2024,20,VRB,VRB,constructor,-13,11
2024,20,WIL,WIL,constructor,-5,15
2024,21,ALP,ALP,constructor,71,71
2024,21,AST,AST,constructor,-4,21
2024,21,FER,FER,constructor,24,44
2024,21,HAA,HAA,constructor,-29,21
2024,21,KCK,KCK,constructor,18,18
2024,21,MCL,MCL,constructor,50,55
2024,21,MER,MER,constructor,45,45
2024,21,RED,RED,constructor,96,96
2024,21,VRB,VRB,constructor,36,44
2024,21,WIL,WIL,constructor,-20,20
2024,22,ALP,ALP,constructor,-12,14
2024,22,AST,AST,constructor,14,15
2024,22,FER,FER,constructor,72,73
2024,22,HAA,HAA,constructor,27,27
2024,22,KCK,KCK,constructor,8,8
2024,22,MCL,MCL,constructor,66,66
2024,22,MER,MER,constructor,82,82
2024,22,RED,RED,constructor,55,55
2024,22,VRB,VRB,constructor,16,20
2024,22,WIL,WIL,constructor,-5,15
2024,23,ALP,ALP,constructor,9,29
2024,23,AST,AST,constructor,9,29
2024,23,FER,FER,constructor,70,70
2024,23,HAA,HAA,constructor,14,34
2024,23,KCK,KCK,constructor,35,35
2024,23,MCL,MCL,constructor,76,82
2024,23,MER,MER,constructor,47,56
2024,23,RED,RED,constructor,44,67
2024,23,VRB,VRB,constructor,14,21
2024,23,WIL,WIL,constructor,-12,10
2024,24,ALP,ALP,constructor,27,27
2024,24,AST,AST,constructor,18,20
2024,24,FER,FER,constructor,82,82
2024,24,HAA,HAA,constructor,30,33
2024,24,KCK,KCK,constructor,-3,17
2024,24,MCL,MCL,constructor,65,73
2024,24,MER,MER,constructor,55,55
2024,24,RED,RED,constructor,15,37
2024,24,VRB,VRB,constructor,11,17
2024,24,WIL,WIL,constructor,-10,11
2025,1,ALP,ALP,constructor,-14,8
2025,1,AST,AST,constructor,1,21
2025,1,FER,FER,constructor,36,39
2025,1,HAA,HAA,constructor,14,20
2025,1,KCK,KCK,constructor,3,23
2025,1,MCL,MCL,constructor,71,78
2025,1,MER,MER,constructor,67,67
2025,1,RED,RED,constructor,19,39
2025,1,VRB,VRB,constructor,-10,17
2025,1,WIL,WIL,constructor,10,30
2025,2,ALP,ALP,constructor,-6,25
2025,2,AST,AST,constructor,4,24
2025,2,FER,FER,constructor,-23,38
2025,2,HAA,HAA,constructor,47,48
2025,2,KCK,KCK,constructor,12,15
2025,2,MCL,MCL,constructor,101,102
2025,2,MER,MER,constructor,69,69
2025,2,RED,RED,constructor,67,67
2025,2,VRB,VRB,constructor,42,53
2025,2,WIL,WIL,constructor,26,32
2025,3,ALP,ALP,constructor,9,9
2025,3,AST,AST,constructor,9,9
2025,3,FER,FER,constructor,56,56
2025,3,HAA,HAA,constructor,10,10
2025,3,KCK,KCK,constructor,0,3
2025,3,MCL,MCL,constructor,71,71
2025,3,MER,MER,constructor,56,56
2025,3,RED,RED,constructor,46,46
2025,3,VRB,VRB,constructor,14,19
2025,3,WIL,WIL,constructor,19,19
2025,4,ALP,ALP,constructor,22,28
2025,4,AST,AST,constructor,18,18
2025,4,FER,FER,constructor,73,73
2025,4,HAA,HAA,constructor,40,40
2025,4,KCK,KCK,constructor,-22,9
2025,4,MCL,MCL,constructor,92,92
2025,4,MER,MER,constructor,60,65
2025,4,RED,RED,constructor,46,46
2025,4,VRB,VRB,constructor,22,22
2025,4,WIL,WIL,constructor,13,33
2025,5,ALP,ALP,constructor,-6,14
2025,5,AST,AST,constructor,11,11
2025,5,FER,FER,constructor,64,64
2025,5,HAA,HAA,constructor,12,12
2025,5,KCK,KCK,constructor,10,11
2025,5,MCL,MCL,constructor,86,86
2025,5,MER,MER,constructor,46,49
2025,5,RED,RED,constructor,21,42
2025,5,VRB,VRB,constructor,18,18
2025,5,WIL,WIL,constructor,27,27
2025,6,ALP,ALP,constructor,10,30
2025,6,AST,AST,constructor,13,34
2025,6,FER,FER,constructor,34,54
2025,6,HAA,HAA,constructor,8,31
2025,6,KCK,KCK,constructor,9,29
2025,6,MCL,MCL,constructor,118,118
2025,6,MER,MER,constructor,51,57
2025,6,RED,RED,constructor,60,63
2025,6,VRB,VRB,constructor,-6,14
2025,6,WIL,WIL,constructor,31,55
2025,7,ALP,ALP,constructor,10,13
2025,7,AST,AST,constructor,14,27
2025,7,FER,FER,constructor,67,67
2025,7,HAA,HAA,constructor,-13,8
2025,7,KCK,KCK,constructor,13,13
2025,7,MCL,MCL,constructor,82,82
2025,7,MER,MER,constructor,6,30
2025,7,RED,RED,constructor,71,76
2025,7,VRB,VRB,constructor,24,24
2025,7,WIL,WIL,constructor,42,42
2025,8,ALP,ALP,constructor,-11,10
2025,8,AST,AST,constructor,-4,16
2025,8,FER,FER,constructor,71,71
2025,8,HAA,HAA,constructor,25,25
2025,8,KCK,KCK,constructor,7,8
2025,8,MCL,MCL,constructor,83,83
2025,8,MER,MER,constructor,9,9
2025,8,RED,RED,constructor,23,28
2025,8,VRB,VRB,constructor,31,31
2025,8,WIL,WIL,constructor,16,16
2025,9,ALP,ALP,constructor,31,31
2025,9,AST,AST,constructor,1,21
2025,9,FER,FER,constructor,61,61
2025,9,HAA,HAA,constructor,6,9
2025,9,KCK,KCK,constructor,52,52
2025,9,MCL,MCL,constructor,88,88
2025,9,MER,MER,constructor,24,44
2025,9,RED,RED,constructor,28,29
2025,9,VRB,VRB,constructor,35,35
2025,9,WIL,WIL,constructor,-8,12
2025,10,ALP,ALP,constructor,11,11
2025,10,AST,AST,constructor,31,32
2025,10,FER,FER,constructor,57,57
2025,10,HAA,HAA,constructor,22,22
2025,10,KCK,KCK,constructor,26,26
2025,10,MCL,MCL,constructor,40,52
2025,10,MER,MER,constructor,87,87
2025,10,RED,RED,constructor,51,51
2025,10,VRB,VRB,constructor,-4,20
2025,10,WIL,WIL,constructor,4,24
2025,11,ALP,ALP,constructor,17,21
2025,11,AST,AST,constructor,24,24
2025,11,FER,FER,constructor,67,68
2025,11,HAA,HAA,constructor,37,37
2025,11,KCK,KCK,constructor,45,45
2025,11,MCL,MCL,constructor,100,100
2025,11,MER,MER,constructor,19,39
2025,11,RED,RED,constructor,1,21
2025,11,VRB,VRB,constructor,34,34
2025,11,WIL,WIL,constructor,-36,4
2025,12,ALP,ALP,constructor,5,25
2025,12,AST,AST,constructor,33,33
2025,12,FER,FER,constructor,41,48
2025,12,HAA,HAA,constructor,25,25
2025,12,KCK,KCK,constructor,14,35
2025,12,MCL,MCL,constructor,90,90
2025,12,MER,MER,constructor,7,33
2025,12,RED,RED,constructor,41,49
2025,12,VRB,VRB,constructor,-35,5
2025,12,WIL,WIL,constructor,16,16
2025,13,ALP,ALP,constructor,-13,8
2025,13,AST,AST,constructor,20,21
2025,13,FER,FER,constructor,70,70
2025,13,HAA,HAA,constructor,15,18
2025,13,KCK,KCK,constructor,24,24
2025,13,MCL,MCL,constructor,93,94
2025,13,MER,MER,constructor,50,50
2025,13,RED,RED,constructor,55,61
2025,13,VRB,VRB,constructor,17,28
2025,13,WIL,WIL,constructor,27,29
2025,14,ALP,ALP,constructor,2,9
2025,14,AST,AST,constructor,45,46
2025,14,FER,FER,constructor,39,42
2025,14,HAA,HAA,constructor,-9,11
2025,14,KCK,KCK,constructor,35,35
2025,14,MCL,MCL,constructor,100,100
2025,14,MER,MER,constructor,54,54
2025,14,RED,RED,constructor,39,39
2025,14,VRB,VRB,constructor,29,29
2025,14,WIL,WIL,constructor,24,24
2025,15,ALP,ALP,constructor,14,14
2025,15,AST,AST,constructor,41,46
2025,15,FER,FER,constructor,-4,36
2025,15,HAA,HAA,constructor,43,44
2025,15,KCK,KCK,constructor,14,14
2025,15,MCL,MCL,constructor,52,68
2025,15,MER,MER,constructor,30,34
2025,15,RED,RED,constructor,47,47
2025,15,VRB,VRB,constructor,38,41
2025,15,WIL,WIL,constructor,35,35
2025,16,ALP,ALP,constructor,6,7
2025,16,AST,AST,constructor,-11,11
2025,16,FER,FER,constructor,67,67
2025,16,HAA,HAA,constructor,7,8
2025,16,KCK,KCK,constructor,-2,19
2025,16,MCL,MCL,constructor,97,97
2025,16,MER,MER,constructor,37,40
2025,16,RED,RED,constructor,56,60
2025,16,VRB,VRB,constructor,27,28
2025,16,WIL,WIL,constructor,23,23
2025,17,ALP,ALP,constructor,7,11
2025,17,AST,AST,constructor,-2,5
2025,17,FER,FER,constructor,28,28
2025,17,HAA,HAA,constructor,13,23
2025,17,KCK,KCK,constructor,17,17
2025,17,MCL,MCL,constructor,6,26
2025,17,MER,MER,constructor,67,67
2025,17,RED,RED,constructor,85,85
2025,17,VRB,VRB,constructor,41,45
2025,17,WIL,WIL,constructor,46,46
2025,18,ALP,ALP,constructor,6,7
2025,18,AST,AST,constructor,37,37
2025,18,FER,FER,constructor,48,49
2025,18,HAA,HAA,constructor,15,16
2025,18,KCK,KCK,constructor,-4,8
2025,18,MCL,MCL,constructor,64,64
2025,18,MER,MER,constructor,67,68
2025,18,RED,RED,constructor,51,51
2025,18,VRB,VRB,constructor,16,22
2025,18,WIL,WIL,constructor,5,26
2025,19,ALP,ALP,constructor,18,25
2025,19,AST,AST,constructor,-12,28
2025,19,FER,FER,constructor,85,85
2025,19,HAA,HAA,constructor,13,33
2025,19,KCK,KCK,constructor,25,25
2025,19,MCL,MCL,constructor,22,62
2025,19,MER,MER,constructor,61,69
2025,19,RED,RED,constructor,92,92
2025,19,VRB,VRB,constructor,34,39
2025,19,WIL,WIL,constructor,27,47
2025,20,ALP,ALP,constructor,14,15
2025,20,AST,AST,constructor,2,22
2025,20,FER,FER,constructor,58,63
2025,20,HAA,HAA,constructor,45,45
2025,20,KCK,KCK,constructor,2,22
2025,20,MCL,MCL,constructor,86,86
2025,20,MER,MER,constructor,58,61
2025,20,RED,RED,constructor,36,36
2025,20,VRB,VRB,constructor,-10,15
2025,20,WIL,WIL,constructor,29,29
2025,21,ALP,ALP,constructor,12,32
2025,21,AST,AST,constructor,9,17
2025,21,FER,FER,constructor,-3,37
2025,21,HAA,HAA,constructor,54,54
2025,21,KCK,KCK,constructor,-9,25
2025,21,MCL,MCL,constructor,63,84
2025,21,MER,MER,constructor,91,91
2025,21,RED,RED,constructor,88,89
2025,21,VRB,VRB,constructor,47,50
2025,21,WIL,WIL,constructor,42,42
2025,22,ALP,ALP,constructor,3,6
2025,22,AST,AST,constructor,-8,16
2025,22,FER,FER,constructor,48,48
2025,22,HAA,HAA,constructor,24,24
2025,22,KCK,KCK,constructor,-8,12
2025,22,MCL,MCL,constructor,-34,26
2025,22,MER,MER,constructor,77,77
2025,22,RED,RED,constructor,85,85
2025,22,VRB,VRB,constructor,30,36
2025,22,WIL,WIL,constructor,9,31
2025,23,ALP,ALP,constructor,14,15
2025,23,AST,AST,constructor,21,26
2025,23,FER,FER,constructor,22,25
2025,23,HAA,HAA,constructor,-5,15
2025,23,KCK,KCK,constructor,4,24
2025,23,MCL,MCL,constructor,96,99
2025,23,MER,MER,constructor,57,59
2025,23,RED,RED,constructor,67,67
2025,23,VRB,VRB,constructor,22,31
2025,23,WIL,WIL,constructor,39,39
2025,24,ALP,ALP,constructor,4,5
2025,24,AST,AST,constructor,47,47
2025,24,FER,FER,constructor,83,83
2025,24,HAA,HAA,constructor,34,34
2025,24,KCK,KCK,constructor,40,40
2025,24,MCL,MCL,constructor,77,77
2025,24,MER,MER,constructor,35,37
2025,24,RED,RED,constructor,52,56
2025,24,VRB,VRB,constructor,6,19
2025,24,WIL,WIL,constructor,24,24
